Customer number;Customer name;Customer type;Number;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999981;Pentaline - Equipamentos Industriais, Lda.;4;+351256388800;http://www.pentaline.pt;www.abb.com;Zona Industrial Lordelo/CodalAvenida dos Pousados, Nº99;3730-666;Vale de Cambra;Baixo Vouga;Portugal;
999982;Persico S.p.A.;4;+39 035 4531611;http://www.persico.com;www.abb.com;Via Marconi 7;24027;Nembro;Bergamo;Italy;
999983;Peters Elektromotoren B.V.;4;+31736218888;http://www.peters.nl;www.abb.com;Ploegweg 11;5232 BR;Den Bosch;Noord-Brabant;Netherlands;
999984;PETROCON ECC WLL;4;+97444466333;http://www.petroservcc.com;www.abb.com;NBK Building (E Block),First Floor, Al Waab City, Salwa Road;---;Doha;Qatar;Qatar;
999985;Piccoli Sergio & C. S.r.l.;4;+390458510988;http://www.piccolisergio.it;www.abb.com;Via Binelunghe, 15 - Loc. Bassone;37139;Verona;Verona;Italy;
999986;Pinnacle Instruments SA;4;+27 11 450 4885;http://www.pinnacle-ice.com;www.abb.com;16 Field Street, Wilbart;1401;Germiston;Gauteng;South Africa;
999987;Plamex Automation AB;4;+460371-180 05;http://www.plamex.se;www.abb.com;Ågatan 13;334 33;Anderstorp;Jonkopings Lan;Sweden;
999988;Platt Electric Supply Inc;4;+15036416121;http://www.platt.com/;www.abb.com;10605 S W Allen Blvd;97005-4828;Beaverton;Oregon;United States;
999989;Plc-Automation Oy;4;+358 8 5313000;http://www.plc.fi;www.abb.com;Konetie 32;90620;Oulu;North Ostrobothnia;Finland;
999990;Pooja Marketing;4;+912602422632;http://www.poojagroup.com;www.abb.com;Near Gidc Police Station, Gidc;396195;Vapi;Gujarat;India;
999991;Power Equipments;4;+91 9981123162;http://powerequipments.in;www.abb.com;B227, Emerald Park City, Near AIIMS, Bagsewaniya;462 001;Bhopal;Rajasthan;India;
999992;Power Formers Engineers - P - Ltd;4;+912066243801;http://www.powerformers.com/;www.abb.com;EL-11 Electronic Zone, J Blk, Bhosari;411026;Pune;Maharashtra;India;
999993;POWERTEK AUTOMATION;4;;http://www.powertekautomation.com;www.abb.com;1st Floor, Vaidehi Complex,Behind P Mandir,Harmu;834002;Ranchi;Jharkhand;India;
999994;PPE Technologies Cape Town;4;+27870574001;http://www.ppetech.co.za;www.abb.com;Power Plant Electrical Technologies 27B - Platinum Junction Business Park School Road Milnerton;7530;Cape Town;Western Cape;South Africa;
999995;Premier Automation Ltd;4;+441234266922;http://www.premierautomation.co.uk;www.abb.com;14-15, Edison Rd;MK41 0HU;Bedford;Bedfordshire;United Kingdom;
999996;Prevas AB;4;+460213601900;http://www.prevas.se;www.abb.com;Legeringsgatan 18;721 30;Västerås;Vastmanlands Lan;Sweden;
999997;Privodnaya tekhnika NTTs OOO;4;+73517751421;http://www.momentum.ru;www.abb.com;ul.40 let Oktyabrya, 19;454007;Chelyabinsk;The Chelyabinsk Area;Russian Federation;
999998;Process Automation Solutions B.V.;4;;http://www.pa-ats.com;www.abb.com;Nikkelstraat 2;4823 AB;Breda;Noord-Brabant;Netherlands;
999999;Process Automation Solutions GmbH;4;+496237932-0;http://www.pa-ats.com;www.abb.com;Am Herrschaftsweiher 25;67071;Ludwigshafen am Rhein;Rheinland-Pfalz;Germany;
1000000;Process Control AS;4;+4799405300;http://www.processcontrol.no;www.abb.com;Bredalsmarken 17;5006;Bergen;Vestland;Norway;
1000001;Production Systems Automation;4;+16103876938;http://www.psasystems.com;www.abb.com;1 Crozerville Rd;19014;Aston;Pennsylvania;United States;
1000002;Professional Service United Co Ltd;4;+6624615764;http://www.psu.co.th;www.abb.com;465 Moo 3, Bangrongsuan, Prasamudjadee;10290;Samutprakarn;Samut Prakan;Thailand;
1000003;Promenergocomplex JLLC;4;+375172943635;http://www.pek.by;www.abb.com;Uralskiy lane, 15-343;220037;Minsk;Minsk;Belarus;
1000004;PROMONTAN Elektroplan GmbH;4;+49 3327 573000;http://www.promontan.de;www.abb.com;Phobener Str. 28;14542;Werder (Havel);Brandenburg;Germany;
1000005;PT-Servis OOO;4;+7 (351) 2195302;http://www.service.momentum.ru;www.abb.com;ul.Mashinostroiteley, 1;454007;Chelyabinsk;The Chelyabinsk Area;Russian Federation;
1000006;PV Systems AB;4;+4650217520;http://www.pvs.se;www.abb.com;Skaftgatan 1;522 30;Tidaholm;Vastra Gotalands Lan;Sweden;
1000007;Q Comp Technologies Inc;4;+1 (920) 757-0775;http://www.qcomptech.com;www.abb.com;W6564 Quality Dr;54942;Greenville;Wisconsin;United States;
1000008;Qingdao Hiwits Instrument Co Ltd;4;+86 532 86072987;http://www.hiwits.com;www.abb.com;No. 1 Keyuan Weiyi Road, International Innovation Park Block B, 15th floor, Laoshan District;266100;Qingdao;Shandong;China;
