Customer number;Customer name;Customer type;Number;Address;Remark;Address row 1;Zip code;City/Province;State/Region;Country;
999576;ACS Drives & Control Systems Ltd;4;+353 44 934 0242;http://www.acsdrives.ie;www.abb.com;Unit 21, Zone CMullingar Business Park;N91 VX4V;Mullingar;County Westmeath;Ireland;
999577;ACS Industrietechnik GmbH;4;+49 911 5283740;http://www.acs-industrietechnik.de;www.abb.com;Lina-Ammon-Str. 22;90471;Nurnberg;Bayern;Germany;
999578;ACTOM Energy;4;+27 21 510 2550;http://www.actomenergy.co.za;www.abb.com;55 Neptune Street Paarden Eiland;7405;Cape Town;Western Cape;South Africa;
999579;Adaro Tecnologia, SA;4;+34985347806;http://www.adaro.es;www.abb.com;Cl Jimena Fernandez De La Vega (Pq Cientifico Tecnologico Gijon Ed...;33203;Gijon;Asturias;Spain;
999580;Adelphi Automation Ltd;4;+441625560239;http://www.adelphiautomation.co.uk;www.abb.com;Unit 4, Castlehill Ind Estate, Bredbury;SK6 2SU;Stockport;Greater Manchester;United Kingdom;
999581;Ads Muhendislik Elektrik Elektronik Insaat San. ve Tic. Ltd. Sti.;4;+902164442374;http://www.adsmuhendislik.com.tr;www.abb.com;Serifali Mahallesi Turgut Ozal Bulvari, Burhan Sk. No:5;34775;Umraniye;Istanbul;Turkey;
999582;Advanced Automation LLC;4;+1 (844) 754-3292;http://www.nhautomation.com;www.abb.com;27 Production Dr;03802;Dover;New Hampshire;United States;
999583;AEC Electro Mech Projects Pvt Ltd;4;+91442827 3404;;www.abb.com;Plot No.28, D.No:4A, 2nd Cross, Ratna Avenue-Minjur;601203;Chennai;Tamil Nadu;India;
999584;AED Automation GmbH;4;+49 7348 20010;http://https://www.aed-automation.com/de/;www.abb.com;Lerchenbergstr. 23;89160;Dornstadt;Baden-Wurttemberg;Germany;
999585;AF-Industry AB;4;+46105050000;http://www.afconsult.com;www.abb.com;Industrivagen 4;695 30;Laxa;Orebro Lan;Sweden;
999586;AF-Industry AB;4;+46105050000;http://afconsult.com;www.abb.com;Frosundaleden 2;169 99;Solna;Stockholms Lan;Sweden;
999587;Agon Enerji Elektrik Otomasyon Ayd. San. ve Tic. Ltd. Sti.;4;;http://ww.agonenerji.com.tr;www.abb.com;Macun Mah. Bati Bulvari, ATB Is Merkezi Apt. No: 1/253 Yenimahalle;06378;Ankara;Ankara;Turkey;
999588;AKE technologies GmbH;4;+49 851 955840;http://www.ake-technologies.de;www.abb.com;Adolf-Hollinger Str. 3;94034;Passau;Bayern;Germany;
999589;Al Zubair General Trading LLC;4;+971 4 3362532;http://www.zubaircorp.com;www.abb.com;Karama Area, Dubai Printing Press Building;---;Dubai;Dubai;United Arab Emirates;
999590;Alan Otomasyon Ve Muh. Hiz. Ve Tic.Ltd.Sti.;4;+90 322 2339966;http://alanotomasyon.com.tr/;www.abb.com;Yesiloba Mah. Turhan Cemal Beriker Blv. E-5 Karayolu Uzeri No:486/B Seyhan / ADANA;01170;Adana;Adana;Turkey;
999591;Alfanar Electrical Systems;4;+966532529197;http://www.alfanar.com;www.abb.com;Northern Ring Road Between Exits 5 & 6, Near King Abdulaziz Center for National Dialogue;11411;Riyadh;Riad;Saudi Arabia;
999592;Alfatronic Automacao Ltda;4;;http://www.alfatronicautomacao.com.br;www.abb.com;Av Ruben Bento Alves, 5247;95032-440;Caxias Do Sul;Rio Grande do Sul;Brazil;
999593;Algol Technics Oy;4;+358 9 50991;http://www.algoltechnics.fi;www.abb.com;Karapellontie 6;02610;Espoo;Uusimaa;Finland;
999594;ALPHA CONTROLS INSTRUMENTS Pvt Ltd;4;+91 9335309551;;www.abb.com;G-39, Upsidc, Deva Road, Chinhat;226019;Lucknow;Uttar Pradesh;India;
999595;Alpine Instruments CC;4;+27 31 462 8638;http://www.alpineinstruments.co.za/;www.abb.com;133 Montclair Road;4001;Montclair, Durban;KwaZulu-Natal;South Africa;
999596;Alsanbo Electricidad;4;;http://www.grupoalsanbo.com;www.abb.com;CALLE MIGUEL SERVET 22;03203;Elche;Alicante;Spain;
999597;Alseden General Trading Co;4;+9647901525351;http://www.alseden.com;www.abb.com;Salman Faek St. Al Sadi Building - Level 3 office 18;12345;Baghdad;Baghdad;Iraq;
999598;ALSITER S.r.l.;4;+39 0583 441301;http://www.alsiter.com;www.abb.com;Via del Brennero 1040/F;55100;San Marco;Lucca;Italy;
999599;AMJ Electrical Services (Durban) cc.;4;+27 31705 7405;http://www.amjelectrical.co.za;www.abb.com;Unit 4 Henwood Park, 48 Henwood Road;3610;Pinetown;KwaZulu-Natal;South Africa;
999600;AML3D;4;+61882582658;http://amltec.com;www.abb.com;35 Woomera Avenue;5111;Edinburgh;South Australia;Australia;
999601;AMServ Mitte GmbH & Co. KG;4;;http://www.amserv.de;www.abb.com;Delitzscher Str. 74-76 drive via Trafoweg 4;06112;Halle;Sachsen-Anhalt;Germany;
999602;AMServ Nord GmbH & Co. KG;4;;http://www.amserv.de - Augsburg HRA 14967;www.abb.com;Rondenbarg 13;22525;Hamburg;Hamburg;Germany;
999603;AMServ Sud GmbH & Co KG;4;;http://www.amserv.de - Augsburg HRA 14965;www.abb.com;Oskar-von-Miller-Str. 2;86356;Neusass;Bayern;Germany;
999604;AMServ West GmbH & Co.KG;4;+49 681 841180;http://www.amserv.de;www.abb.com;Gewerbegebiet Klingenthal 49;66578;Schiffweiler;Saarland;Germany;
999605;Analytical Solutions And Products B.V.;4;;http://www.asap.nl;www.abb.com;Berchvliet 17;1046 CB;Amsterdam;Noord-Holland;Netherlands;
999606;Andersson & Hansson Automation AB;4;+4652379500;http://www.ah-automation.se;www.abb.com;Klippsjovagen 6;456 34;Kungshamn;Vastra Gotalands Lan;Sweden;
999607;Andon Robotics AB;4;+4619 207 200;http://www.andonrobotics.se;www.abb.com;Radiatorvagen 2;702 27;Orebro;Orebro Lan;Sweden;
999608;Andrew Donald Design Engineers;4;+61 3 9760 9600;http://www.adde.com.au;www.abb.com;6b/841 Mountain Hwy;3153;Bayswater;Victoria;Australia;
